Iteration, Balance Before, Close Price Before, Action, Contracts, Position, Reward, Balance After, Close Price After
0,1000094.25,12780.25,2,3,short,0.0,1000094.25,12780.25
1,999992.5,12780.25,0,1,short,1.75,999994.25,12780.25
2,1000152.0,12777.0,0,2,short,-0.75,1000151.25,12777.0
3,1000040.0,12750.75,1,2,long,0.0,1000040.0,12750.75
4,1000103.5,12756.75,2,1,short,1.25,1000104.75,12756.75
5,1000046.25,12771.5,0,2,long,0.75,1000047.0,12771.5
6,1000023.0,12747.0,0,2,long,-0.25,1000022.75,12747.0
7,1000052.75,12757.0,1,2,long,0.0,1000052.75,12757.0
8,999796.5,12751.75,1,1,long,0.0,999796.5,12751.75
9,999816.75,12738.75,0,3,short,0.75,999817.5,12738.75
10,999825.25,12724.5,2,1,short,0.0,999825.25,12724.5
11,999991.0,12736.5,1,1,long,0.0,999991.0,12736.5
12,999963.0,12729.5,0,2,short,0.5,999963.5,12729.5
13,1000382.25,12725.0,0,2,long,-0.75,1000381.5,12725.0
14,999991.25,12721.0,0,3,long,0.5,999991.75,12721.0
15,1000011.25,12681.5,1,2,long,0.0,1000011.25,12681.5
16,999798.0,12690.75,0,1,short,1.5,999799.5,12690.75
17,1000387.75,12674.25,1,3,long,0.5,1000388.25,12674.25
18,999866.5,12626.0,2,1,short,-0.5,999866.0,12626.0
19,1000346.75,12593.0,2,1,short,0.5,1000347.25,12593.0
20,999746.75,12577.25,0,2,long,0.75,999747.5,12577.25
21,1000054.5,12546.75,0,1,long,-1.0,1000053.5,12546.75
22,1000268.25,12546.25,0,1,short,0.5,1000268.75,12546.25
23,1000070.5,12556.5,0,2,long,1.0,1000071.5,12556.5
24,1000056.75,12526.25,2,1,short,-0.25,1000056.5,12526.25
25,1000131.25,12534.75,2,1,short,0.0,1000131.25,12534.75
26,1000097.5,12541.75,1,1,long,0.0,1000097.5,12541.75
27,1000600.0,12540.5,0,1,long,0.0,1000600.0,12540.5
28,1000386.0,12547.75,1,2,long,0.25,1000386.25,12547.75
29,1000221.25,12565.5,1,1,long,-1.0,1000220.25,12565.5
30,1000023.25,12585.75,0,2,short,-0.75,1000022.5,12585.75
31,1000550.25,12581.0,2,2,short,-0.75,1000549.5,12581.0
32,1000238.5,12553.75,2,2,short,0.0,1000238.5,12553.75
33,999939.0,12579.75,0,2,short,-0.5,999938.5,12579.75
34,1000174.0,12598.25,0,2,short,1.0,1000175.0,12598.25
35,1000372.0,12589.5,2,3,short,0.0,1000372.0,12589.5
